iter	Logloss
0	0.6605437806
1	0.6274846689
2	0.5972542569
3	0.5747951584
4	0.5568136632
5	0.5386751494
6	0.527207827
7	0.5171782523
8	0.5068132087
9	0.4999543905
10	0.4938210345
11	0.4869566042
12	0.4816336492
13	0.4773912423
14	0.4735906971
15	0.4719622231
16	0.469746514
17	0.4660840795
18	0.4625501612
19	0.4607339693
20	0.4592296797
21	0.4570593181
22	0.4556479612
23	0.4548032334
24	0.453147301
25	0.4523908613
26	0.4508496315
27	0.450303343
28	0.4500910897
29	0.4491062336
30	0.4484117484
31	0.4482559372
32	0.4470275962
33	0.4469174669
34	0.4466590636
35	0.4452116239
36	0.4452113107
37	0.4444189446
38	0.4439661942
39	0.4431702063
40	0.4426348497
41	0.4420435853
42	0.4416779407
43	0.4416758518
44	0.4410217149
45	0.4406926625
46	0.4404300188
47	0.4395417572
48	0.4393186171
49	0.4384670006
50	0.4384669984
51	0.4384283759
52	0.4379187751
53	0.4371229836
54	0.4365396249
55	0.4362401308
56	0.4362050787
57	0.4362050787
58	0.4362050787
59	0.435981888
60	0.4359818879
61	0.4356872448
62	0.4356872446
63	0.4356872444
64	0.435168752
65	0.4351687519
66	0.4349922364
67	0.4349922364
68	0.4346902227
69	0.4343589376
70	0.4343296955
71	0.4340749977
72	0.4336957426
73	0.4328639717
74	0.4322243323
75	0.4322243201
76	0.4318789584
77	0.4318195291
78	0.4318195277
79	0.4314616373
80	0.4311079593
81	0.430835826
82	0.4301616872
83	0.4297517847
84	0.42974875
85	0.4297026169
86	0.4295669787
87	0.4294915671
88	0.4294619519
89	0.42892532
90	0.4288663687
91	0.4286145494
92	0.4279551291
93	0.427838361
94	0.4277772807
95	0.4277354348
96	0.4274219707
97	0.4266345013
98	0.4263441906
99	0.4260775691
100	0.4254151741
101	0.425012203
102	0.4250035018
103	0.4249826231
104	0.424434704
105	0.4239932424
106	0.4236530239
107	0.4234775579
108	0.4230107823
109	0.4230082405
110	0.4226019938
111	0.4222209729
112	0.4221642736
113	0.4218865446
114	0.4216323413
115	0.4212654181
116	0.4212654113
117	0.4209865787
118	0.4204838998
119	0.4203023681
120	0.419982881
121	0.4196298545
122	0.4194717186
123	0.4190382971
124	0.4188156646
125	0.4180785064
126	0.417736579
127	0.4176592634
128	0.4175867212
129	0.417381709
130	0.4173186153
131	0.4167410315
132	0.4166793778
133	0.4164354673
134	0.4163560191
135	0.4162938086
136	0.4162862426
137	0.4159093745
138	0.4156479958
139	0.4152140194
140	0.4147901145
141	0.4144134614
142	0.4140331835
143	0.4139206561
144	0.413688778
145	0.4135585225
146	0.4132841378
147	0.4132259947
148	0.4128973136
149	0.4124822433
150	0.4122875652
151	0.4122084598
152	0.4120876953
153	0.4117274012
154	0.4115924674
155	0.4111155016
156	0.4110353485
157	0.4107211152
158	0.4105499886
159	0.410187357
160	0.4100242765
161	0.4100115913
162	0.4098525322
163	0.4095250688
164	0.4095074265
165	0.4091815766
166	0.4088316838
167	0.4083408435
168	0.4081998735
169	0.4079050013
170	0.4078066555
171	0.4074700825
172	0.4070693945
173	0.4069042243
174	0.4066251025
175	0.4065616241
176	0.4064225797
177	0.4060009252
178	0.4055316428
179	0.4053554975
180	0.4053364613
181	0.4052544694
182	0.4052381309
183	0.4049260615
184	0.4047527066
185	0.4047357761
186	0.4045692283
187	0.4045338861
188	0.4044866414
189	0.4042885107
190	0.4039485899
191	0.4038063252
192	0.4033084999
193	0.4029899284
194	0.4027073404
195	0.4026662928
196	0.4024443992
197	0.4023444912
