iter	Passed	Remaining
0	82	82307
1	184	92152
2	298	99325
3	386	96268
4	517	102943
5	609	101041
6	721	102302
7	824	102201
8	959	105644
9	1078	106771
10	1188	106889
11	1275	105021
12	1369	104003
13	1480	104287
14	1594	104737
15	1646	101267
16	1766	102158
17	1852	101050
18	1945	100470
19	2041	100010
20	2114	98584
21	2235	99360
22	2336	99237
23	2426	98691
24	2535	98889
25	2619	98126
26	2731	98435
27	2803	97324
28	2856	95645
29	2971	96068
30	3077	96204
31	3160	95609
32	3265	95698
33	3320	94329
34	3361	92673
35	3451	92413
36	3516	91534
37	3710	93928
38	3827	94313
39	3919	94066
40	4014	93893
41	4111	93772
42	4167	92747
43	4202	91304
44	4282	90883
45	4348	90180
46	4435	89927
47	4533	89912
48	4602	89319
49	4690	89121
50	4715	87736
51	4743	86484
52	4843	86539
53	5011	87791
54	5157	88611
55	5234	88244
56	5274	87265
57	5308	86209
58	5329	85002
59	5379	84285
60	5416	83381
61	5497	83176
62	5530	82251
63	5554	81234
64	5638	81112
65	5674	80300
66	5722	79683
67	5750	78811
68	5852	78965
69	5935	78858
70	5973	78156
71	6091	78506
72	6182	78506
73	6303	78882
74	6409	79044
75	6446	78379
76	6525	78216
77	6587	77868
78	6618	77157
79	6723	77322
80	6825	77441
81	6923	77505
82	7009	77446
83	7121	77661
84	7167	77158
85	7198	76500
86	7316	76781
87	7372	76409
88	7429	76048
89	7519	76027
90	7580	75726
91	7671	75710
92	7763	75716
93	7849	75659
94	7900	75259
95	7950	74866
96	8031	74764
97	8149	75011
98	8225	74857
99	8324	74919
100	8427	75012
101	8519	75008
102	8562	74571
103	8603	74123
104	8692	74091
105	8790	74138
106	8887	74173
107	8966	74059
108	9093	74332
109	9129	73867
110	9208	73754
111	9311	73823
112	9406	73837
113	9498	73817
114	9599	73870
115	9747	74283
116	9826	74158
117	9937	74277
118	10065	74521
119	10153	74456
120	10272	74624
121	10372	74646
122	10458	74571
123	10558	74591
124	10641	74493
125	10737	74480
126	10862	74669
127	10944	74557
128	11062	74695
129	11155	74654
130	11302	74974
131	11483	75514
132	11585	75522
133	11671	75428
134	11787	75529
135	11866	75387
136	11953	75295
137	12050	75270
138	12168	75377
139	12328	75733
140	12418	75658
141	12561	75899
142	12708	76161
143	12861	76456
144	12978	76529
145	13130	76804
146	13306	77216
147	13441	77377
148	13602	77690
149	13725	77778
150	13883	78061
151	13997	78092
152	14109	78109
153	14198	77997
154	14327	78110
155	14497	78436
156	14577	78273
157	14682	78243
158	14788	78221
159	14988	78692
160	15082	78599
161	15173	78492
162	15279	78461
163	15382	78413
164	15483	78353
165	15558	78169
166	15676	78196
167	15764	78072
168	15868	78029
169	15983	78037
170	16078	77947
171	16164	77814
172	16280	77824
173	16367	77698
174	16519	77877
175	16647	77940
176	16804	78134
177	16975	78392
178	17106	78459
179	17280	78721
180	17383	78658
181	17504	78672
182	17645	78779
183	17743	78688
184	17842	78602
185	17928	78461
186	18029	78386
187	18119	78258
188	18198	78088
189	18306	78043
190	18398	77929
191	18479	77766
192	18587	77720
193	18676	77592
194	18761	77452
195	18871	77410
196	18965	77304
197	19054	77182
198	19156	77109
199	19243	76975
200	19345	76901
201	19439	76794
202	19518	76630
203	19629	76595
204	19749	76588
205	19814	76371
206	19944	76404
207	20031	76272
208	20131	76191
209	20245	76162
210	20343	76070
211	20442	75985
212	20524	75834
213	20631	75777
214	20714	75633
215	20792	75468
216	20890	75378
217	20969	75220
218	21070	75141
219	21168	75053
220	21281	75013
221	21402	75004
222	21508	74941
223	21609	74860
224	21693	74723
225	21792	74635
226	21883	74518
227	21971	74394
228	22062	74281
229	22163	74200
230	22249	74068
231	22357	74011
232	22442	73877
233	22549	73816
234	22639	73699
235	22745	73632
236	22859	73593
237	22981	73578
238	23105	73569
239	23190	73436
240	23275	73301
241	23377	73222
242	23463	73092
243	23572	73036
244	23665	72927
245	23748	72791
246	23852	72715
247	23939	72590
248	24050	72536
249	24126	72379
250	24227	72295
251	24311	72162
252	24409	72069
253	24489	71924
254	24605	71887
255	24688	71752
256	24786	71658
257	24892	71590
258	24967	71430
259	25076	71370
260	25170	71267
261	25266	71169
262	25370	71094
263	25443	70932
264	25574	70934
265	25662	70812
266	25772	70754
267	25869	70657
268	25970	70574
269	26066	70476
270	26179	70423
271	26282	70343
272	26377	70242
273	26456	70099
274	26585	70090
275	26664	69944
276	26763	69854
277	26863	69767
278	26939	69618
279	27028	69502
280	27114	69377
281	27184	69215
282	27302	69173
283	27359	68977
284	27464	68902
285	27600	68903
286	27657	68710
287	27751	68608
288	27856	68533
289	27935	68394
290	28027	68285
291	28101	68137
292	28191	68024
293	28294	67944
294	28411	67898
295	28464	67699
296	28561	67604
297	28641	67470
298	28721	67336
299	28830	67271
300	28919	67158
301	29003	67034
302	29103	66948
303	29186	66821
304	29273	66705
305	29373	66618
306	29450	66478
307	29535	66359
308	29633	66268
309	29714	66138
310	29811	66045
311	29900	65935
312	29991	65827
313	30070	65695
314	30170	65609
315	30207	65386
316	30252	65180
317	30291	64964
318	30337	64765
319	30422	64648
320	30508	64532
321	30586	64403
322	30630	64201
323	30676	64003
324	30765	63898
325	30804	63687
326	30898	63592
327	31005	63523
328	31050	63327
329	31141	63227
330	31240	63142
331	31321	63020
332	31418	62930
333	31590	62991
334	31645	62819
335	31730	62706
336	31853	62667
337	31937	62552
338	31990	62377
339	32152	62413
340	32258	62341
341	32362	62265
342	32438	62133
343	32529	62033
344	32626	61942
345	32705	61818
346	32799	61724
347	32902	61644
348	32998	61552
349	33115	61500
350	33287	61549
351	33405	61496
352	33485	61374
353	33585	61288
354	33674	61182
355	33783	61113
356	33871	61006
357	33986	60947
358	34098	60882
359	34150	60711
360	34258	60640
361	34389	60608
362	34515	60568
363	34700	60630
364	34842	60616
365	34970	60576
366	35107	60553
367	35228	60500
368	35418	60566
369	35537	60508
370	35697	60521
371	35781	60404
372	35864	60286
373	35975	60214
374	36064	60107
375	36228	60124
376	36335	60044
377	36414	59920
378	36561	59906
379	36700	59879
380	36790	59773
381	36866	59643
382	36972	59561
383	37100	59515
384	37205	59431
385	37320	59364
386	37412	59261
387	37587	59287
388	37704	59222
389	37798	59120
390	37958	59122
391	38099	59093
392	38177	58966
393	38320	58940
394	38464	58913
395	38563	58818
396	38663	58725
397	38782	58661
398	38885	58571
399	38938	58407
400	39030	58303
401	39123	58198
402	39202	58074
403	39357	58062
404	39441	57945
405	39557	57874
406	39684	57821
407	39857	57832
408	39938	57710
409	40029	57603
410	40097	57463
411	40259	57457
412	40389	57405
413	40475	57291
414	40567	57186
415	40674	57100
416	40809	57054
417	40971	57046
418	41064	56941
419	41149	56825
420	41249	56729
421	41396	56699
422	41549	56676
423	41625	56547
424	41764	56505
425	41928	56495
426	42019	56386
427	42092	56254
428	42197	56164
429	42277	56042
430	42358	55920
431	42469	55839
432	42536	55700
433	42616	55578
434	42707	55470
435	42807	55374
436	42903	55273
437	43013	55191
438	43091	55066
439	43195	54976
440	43272	54851
441	43465	54872
442	43570	54782
443	43658	54671
444	43847	54686
445	43924	54560
446	44066	54516
447	44225	54491
448	44341	54414
449	44425	54297
450	44567	54251
451	44719	54217
452	44849	54156
453	44927	54032
454	45020	53925
455	45125	53834
456	45264	53781
457	45412	53741
458	45492	53619
459	45641	53578
460	45806	53557
461	45892	53442
462	46046	53406
463	46201	53370
464	46273	53238
465	46362	53127
466	46475	53043
467	46621	52996
468	46731	52909
469	46824	52802
470	46956	52738
471	47114	52704
472	47215	52606
473	47312	52502
474	47401	52391
475	47492	52281
476	47578	52167
477	47728	52121
478	47866	52063
479	47997	51997
480	48098	51897
481	48245	51848
482	48387	51794
483	48425	51627
484	48544	51546
485	48724	51531
486	48814	51421
487	48909	51315
